_time,30247,32653,32655,32657,branch02_active_pw,branch02_reactive_pw
2023-02-06 08:08:00+09:00,0.0259690881,0.5615287932857143,0.22389757657142859,0.519037502,987.60858,886.12219
2023-02-06 08:10:00+09:00,0.02353197784705882,0.6576566071428571,0.26032183433333334,0.6041881895714285,1883.42389,1765.1231375
2023-02-06 08:12:00+09:00,0.0239106292,0.6538587956999999,0.25652098135,0.6060194457142858,1871.891235,1735.7466725
2023-02-06 08:14:00+09:00,0.022407427763636363,0.7245544076,0.41375940505,0.5941320345238095,4029.2657475,4061.6166700000003
2023-02-06 08:16:00+09:00,0.0248666505,0.78309569365,0.47367807765,0.6251067142631579,3978.9651775,3991.9777825
2023-02-06 08:18:00+09:00,0.0201751099625,0.6481296334761906,0.2460986467142857,0.5953583546666666,1871.85791,1733.9110533333333
2023-02-06 08:20:00+09:00,0.0235091077625,0.6396282971,0.24785806545,0.5886764527499999,1865.71841,1728.8197025
2023-02-06 08:22:00+09:00,0.02482364644117647,0.6441263897142857,0.2509947007619048,0.5934616837619048,1863.3479324999998,1713.603425
2023-02-06 08:24:00+09:00,0.02341989494117647,0.9457477487894735,0.6620203713684211,0.7690443463888889,2087.995515,1943.2629975
2023-02-06 08:26:00+09:00,0.019338797533333334,1.077595517142857,0.8437731407619047,0.8025534465714286,2324.092775,2176.6071175
2023-02-06 08:28:00+09:00,0.021576349464705883,1.1220410705,0.94410145595,0.82697238915,5294.956665,5298.154785
2023-02-06 08:30:00+09:00,0.018013687053333335,1.0865711035,0.8157131463,0.85356316875,2985.581665,2908.11792
2023-02-06 08:32:00+09:00,0.025061631577777778,1.0072447563157894,0.7441966971578948,0.7860857468421053,2327.4450675,2137.5994849999997
2023-02-06 08:34:00+09:00,0.016961395417647056,1.0520197707777779,0.7719048558333333,0.7066248820555556,2399.8562033333333,2194.5923666666663
2023-02-06 08:36:00+09:00,0.01743164915,1.0668417043333334,0.7719015478571429,0.6273206130476191,3481.110965,2437.8099975
2023-02-06 08:38:00+09:00,0.028717788717647057,1.6139690838421052,1.3351242851578946,1.1326580268421054,6219.08484,5354.2209475
2023-02-06 08:40:00+09:00,0.020056292799999997,2.0026372895238094,1.7266501106190475,1.6199537188095239,5030.0968649999995,4537.7609875
2023-02-06 08:42:00+09:00,0.02308466088235294,1.5293460145789475,1.171318139105263,1.0880377734210527,2916.4060675,2281.8524175000002
2023-02-06 08:44:00+09:00,0.030158719772222224,1.20217187685,0.8665515779499999,0.7792474179,3092.1135875,2349.1339725
2023-02-06 08:46:00+09:00,0.02591409877368421,1.5567703753809523,1.3683298055238096,1.176860805047619,7309.3958725,4943.438965
2023-02-06 08:48:00+09:00,0.025460498305882352,1.3769223227222223,1.0552045835555555,0.9322941913888889,4458.190065,3811.7242425
2023-02-06 08:50:00+09:00,0.03421125258333333,1.5391629039545456,1.2782048204090908,1.0772428072727271,5025.338783333334,2686.1260566666665
2023-02-06 08:52:00+09:00,0.02196585365,1.0006300460526316,0.8046783082631579,0.6649333803157894,2784.7099625,2219.7437125
2023-02-06 08:54:00+09:00,0.03370441780526316,1.8673431784,1.6082020193999997,1.4228320675500001,7495.2805124999995,5535.38623
2023-02-06 08:56:00+09:00,0.023052007611764708,1.176864966,0.8646276437368421,0.7781077624210526,3282.12085,2409.5981425
2023-02-06 08:58:00+09:00,0.023069897007142855,1.08647433875,0.7634439618,0.6916784526499999,3320.7095325,2399.6002225
2023-02-06 09:00:00+09:00,0.0215596904,1.4173607652380953,1.219527185047619,0.9880916502857143,6734.884277499999,5376.493405
2023-02-06 09:02:00+09:00,0.02101024492857143,1.833286348047619,1.5620558798095237,1.3596700457619046,3613.03778,3008.6537475
2023-02-06 09:04:00+09:00,0.01951952935263158,1.174533367368421,0.8757546886842105,0.642164591,2942.8032224999997,2338.017275
2023-02-06 09:06:00+09:00,0.024162434041176472,1.0903012383181818,0.807092788590909,0.6072286720454545,3856.9434433333336,3291.6309400000005
2023-02-06 09:08:00+09:00,0.020650375764285713,1.0953351846500001,0.79678919905,0.59706718915,7820.1246325,5604.639405
2023-02-06 09:10:00+09:00,0.025082442173333334,1.0875514092,0.76870824995,0.64885791545,2888.4469,2329.60138
2023-02-06 09:12:00+09:00,0.02266012551875,1.16517564595,0.851181111,0.7125194908,3274.096985,2407.91919
2023-02-06 09:14:00+09:00,0.0215442309875,1.2019747714285713,0.9244617563333334,0.6723274193809524,5674.0216075,4666.3951400000005
2023-02-06 09:16:00+09:00,0.02277649996875,1.83357336505,1.45867910715,1.38136147805,5738.856875,3708.936705
2023-02-06 09:18:00+09:00,0.0257691878,1.1249382662380953,0.8095623766190476,0.7158664633809524,4109.2230225,2722.3862325
2023-02-06 09:20:00+09:00,0.021973934273333332,1.606211764,1.2998508633,1.2697525407,5080.6127325,4030.4851675
2023-02-06 09:22:00+09:00,0.020589797062499998,1.4594905359523809,1.2205374582857142,1.0153159455714287,5536.536866666666,4661.292316666667
2023-02-06 09:24:00+09:00,0.023296939833333332,1.23333104625,0.9584895044999999,0.8255011352,3013.7586675000002,2386.9124125
2023-02-06 09:26:00+09:00,0.01973627375,1.0791686749473683,0.7887172732105263,0.6969506819473684,4476.55243,3235.5183724999997
2023-02-06 09:28:00+09:00,0.023150245829411765,1.0749942188500001,0.7995321604,0.6006246417,5044.3020625,4558.90692
2023-02-06 09:30:00+09:00,0.0214062003625,1.13434795475,0.8329693064500001,0.63814635875,3741.95337,2741.1008925
2023-02-06 09:32:00+09:00,0.030914129370588232,2.4400758365238095,2.166175201,2.124115033047619,3167.00952,2583.4552025000003
